Marker,Time_stamp
wait,79993.77573866922
wait,79993.77574866923
wait,79993.77575866925
wait,79993.77576846925
wait,79993.77578216924
wait,79993.77579236926
wait,79993.77580236926
wait,79993.77581216926
wait,79993.77582306927
wait,79993.77583326928
wait,79993.77584316928
wait,79993.77585296927
wait,79993.77586346929
wait,79993.7758737693
wait,79993.77588386928
wait,79993.7758938693
wait,79993.7759038693
wait,79993.7759147693
wait,79993.77592486932
wait,79993.77593476932
wait,79993.77594456931
wait,79993.77595546932
wait,79993.77596556932
wait,79993.77597546933
wait,79993.77598516933
wait,79993.77599506934
wait,79993.77600506935
wait,79993.77601516935
wait,79993.77602536936
wait,79993.77603556936
wait,79993.77604566936
wait,79993.77605566935
wait,79993.77606576937
wait,79993.77607636938
wait,79993.77608626937
wait,79993.77609596938
wait,79993.77610596939
wait,79993.77611606939
wait,79993.77612606938
wait,79993.7761361694
wait,79993.7761461694
wait,79993.7761562694
wait,79993.77616616942
wait,79993.77617686942
wait,79993.77618776941
wait,79993.77619816943
wait,79993.77620836943
wait,79993.77622146944
wait,79993.77623746944
wait,79993.77625446944
wait,79993.77627056946
wait,79993.77628236946
wait,79993.77629276946
wait,79993.77630296948
wait,79993.77631316948
wait,79993.77632336947
wait,79993.7763339695
wait,79993.77634606948
wait,79993.77635826949
wait,79993.77636826951
wait,79993.7763787695
wait,79993.7763918695
wait,79993.77640256952
wait,79993.77641356952
wait,79993.77642476952
wait,79993.77643726954
wait,79993.77644676954
wait,79993.77645626954
wait,79993.77646586954
wait,79993.77647566955
wait,79993.77648586954
wait,79993.77649696954
wait,79993.77650696956
wait,79993.77651826956
wait,79993.77653066957
wait,79993.77654436958
wait,79993.77655736958
wait,79993.77656766957
wait,79993.77657776959
wait,79993.7765879696
wait,79993.7765980696
wait,79993.7766080696
wait,79993.7766178696
wait,79993.7766277696
wait,79993.77663766961
wait,79993.77664736962
wait,79993.77665726963
wait,79993.77666726962
wait,79993.77667706963
wait,79993.77668686963
wait,79993.77669666964
wait,79993.77670646964
wait,79993.77671626965
wait,79993.77672616964
wait,79993.77673596964
wait,79993.77674596966
wait,79993.77675576966
wait,79993.77676546967
wait,79993.77677886968
wait,79993.77678896968
wait,79993.77679876967
wait,79993.77680866967
wait,79993.77681856969
wait,79993.7768284697
wait,79993.7768383697
wait,79993.77684816971
wait,79993.77685786971
wait,79993.7768677697
wait,79993.7768774697
wait,79993.77688726972
wait,79993.77689716972
wait,79993.77690716973
wait,79993.77691696974
wait,79993.77692686973
wait,79993.77693676973
wait,79993.77694656973
wait,79993.77695626975
wait,79993.77696616975
wait,79993.77697586975
wait,79993.77698596977
wait,79993.77699686977
wait,79993.77700676977
wait,79993.77701646977
wait,79993.77702646978
wait,79993.77703626978
wait,79993.77704606978
wait,79993.7770559698
wait,79993.7770657698
wait,79993.7770757698
wait,79993.77708566979
wait,79993.7770954698
wait,79993.77710546981
wait,79993.77711526981
wait,79993.77712516983
wait,79993.77713496983
wait,79993.77714486982
wait,79993.77715476982
wait,79993.77716466984
wait,79993.77717436984
wait,79993.77718416984
wait,79993.77719406986
wait,79993.77720416985
wait,79993.77721396985
wait,79993.77722396985
wait,79993.77723376987
wait,79993.77724366987
wait,79993.77725346987
wait,79993.77726326988
wait,79993.77727326988
wait,79993.77728316988
wait,79993.7772931699
wait,79993.7773029699
wait,79993.7773127699
wait,79993.77732256989
wait,79993.77733246991
wait,79993.77734216991
wait,79993.77735206991
wait,79993.77736196993
wait,79993.77737176993
wait,79993.77738176992
wait,79993.77739166992
wait,79993.77740146994
wait,79993.77741126994
wait,79993.77742116994
wait,79993.77743106996
wait,79993.77744076996
wait,79993.77745056995
wait,79993.77746046995
wait,79993.77747036997
wait,79993.77748006997
wait,79993.77748996997
wait,79993.77749976999
wait,79993.77750956999
wait,79993.77751936998
wait,79993.77752916998
wait,79993.77753917
wait,79993.77754897
wait,79993.77755877
wait,79993.77756847002
wait,79993.77757837002
wait,79993.77758807
wait,79993.77759797001
wait,79993.77760777003
wait,79993.77761767003
wait,79993.77762747003
wait,79993.77763737005
wait,79993.77764727005
wait,79993.77765697004
wait,79993.77766687004
wait,79993.77767677006
wait,79993.77768677006
wait,79993.77769667006
wait,79993.77770657006
wait,79993.77771647007
wait,79993.77772647007
wait,79993.77773627007
wait,79993.77774607009
wait,79993.77775597009
wait,79993.77776857009
